respondent,date,sessionName,identification,situation,background (history),background (examination),assessment,recommendation (clear recommendation),recommendation (global rating scale),comments
1,2025-03-14,III-Sepsis,3,3,2,3,2,2,2,Time: (1:00-1:17)
2,2025-03-14,II-Anaphylaxsis,3,3,2,2,3,3,3,"Time: (11:43-11:58)
Talking to registrav could not summarize the condition of patient very clearly
DID: Sepsis I Anaphylaxsis given by team"
3,2025-03-14,IV-Hypoglycemia,3,3,2,2,3,1,1,"Time: (2:36-2:53)
Late response for considering consultation"
4,2025-03-14,I-VF,3,3,2,1,2,2,2,"Time: (10:29-10:54)
Ventricular fibrillation (CVS)
Lack of communication btween 2 main interns
Further brief to patient, ask patent concerns"
5,2025-03-14,(MI)-VT,0,2,2,2,2,2,2,Time: (15:53-16:14)
6,2025-04-04,III-Sepsis,-1,2,3,3,3,3,3,"The patient/simulation is not oriented in TPP.
Clear communication between Reg and colleague during handover"
7,2025-04-04,II (Anaphylactic Shock),3,2,3,3,2,2,3,
8,2025-04-04,IV (AF),3,3,3,3,3,3,3,Clear communication and handover
9,2025-04-04,MI,2,3,2,3,3,2,2,
10,2025-05-02,III (Sepsis),3,3,3,2,2,2,3,"Clear communication during handover
Good"
11,2025-05-02,II (Anaphylaxis),3,3,3,3,2,3,3,Good
12,2025-05-02,IV (VT),3,3,2,-1,3,2,3,Good
13,2025-05-02,I - MI,3,3,3,3,3,2,3,"Consent denied for video recordings
Satisfactory"
14,2025-05-02,V (Hypoglycemia),3,2,2,2,3,2,3,Satisfactory
15,2025-05-04,III - Sepsis,3,3,2,3,2,2,2,Detailed Response - clear communication
16,2025-05-04,II - Anaphylaxsis,3,3,3,3,3,2,3,"Good clear and precise clinical handover
Good"
17,2025-05-04,IV - VT,3,3,2,2,3,2,2,"Not very concise or clear communication
Satisfactory"
18,2025-05-04,I - MI,3,3,3,3,2,3,2,"Wrong CPR position
Clarity is a bit low over whole case scenario
Satisfactory"
19,2025-05-04,V (Hypoglycemia),3,3,3,3,3,3,2,"Concise - clear
Satisfactory"
20,2025-05-16,III (Sepsis),3,3,3,2,2,2,2,"Clinical handover and communication skills, satisfactory
No panic, no arrest team
Satisfactory"
21,2025-05-16,II (Anaphylaxsis),3,3,2,2,2,3,2,Overall a bit unclear communication reflected
22,2025-05-16,IV (VT),3,3,3,3,2,2,3,"Clear communication skills
Good"
23,2025-05-16,I (Myocardial infarction),3,2,3,1,2,3,3,"Diagnostic clarity is present
Good and early assessment of condition is done"
