respondent,YearsCode,YearsCodePro,CompTotal
42,12,10,11000.0
46,10,6,3000.0
48,4,2,60000.0
50,8,3,42000.0
52,6,1,105000.0
55,6,2,65000.0
56,15,3,3000.0
57,10,8,1000000.0
58,22,16,165000.0
60,9,9,120000.0
61,11,7,16000.0
63,30,23,75000.0
64,6,1,950000.0
100,10,3,1566.0
102,15,12,130000.0
103,20,5,29000.0
104,5,1,65000.0
106,8,6,140000.0
110,7,3,45000.0
113,9,5,75000.0
115,19,13,150000.0
121,3,2,2000.0
122,16,12,100400.0
123,10,2,10000.0
127,10,8,60000.0
133,6,3,3200.0
134,18,9,5000.0
136,26,14,50000.0
139,7,4,1600000.0
143,12,6,4250.0
152,40,32,140000.0
154,7,5,120000.0
155,18,5,48000.0
157,12,10,55000.0
159,6,3,90000.0
160,5,5,300000000.0
161,15,8,36000.0
162,7,5,100000.0
165,15,11,200000.0
166,16,14,950000.0
168,5,1,60000.0
171,23,16,130000.0
172,6,2,172000.0
173,8,2,33400.0
179,20,18,125000.0
183,11,8,48000.0
184,4,Less than 1 year,500000.0
185,18,10,220000.0
186,6,3,650000.0
189,17,12,100000.0
192,8,1,200000.0
193,9,1,1400.0
194,4,4,120000.0
197,25,20,120000.0
202,14,3,110000.0
203,11,4,4900.0
204,8,6,90000.0
205,3,1,100000.0
206,20,11,320000.0
208,12,3,96700.0
211,18,17,439000.0
213,22,15,46000.0
215,5,1,80000.0
219,18,13,7200.0
222,30,21,900000.0
223,10,5,60000.0
224,6,1,42000.0
225,25,12,46000.0
229,3,Less than 1 year,22000.0
235,30,18,120000.0
238,16,12,38000.0
240,18,8,115000.0
242,30,23,205000.0
245,8,5,4500000.0
246,37,25,6000.0
247,2,Less than 1 year,28000.0
248,3,2,28000.0
254,24,20,205000.0
255,3,2,92000.0
259,7,4,100000.0
260,10,3,60000.0
261,48,45,400000.0
263,16,16,36000000.0
267,10,6,57000.0
268,12,4,125000.0
269,14,12,90000.0
272,25,15,200000.0
274,32,23,155000.0
275,15,12,81000.0
277,28,17,0.0
278,7,2,91000.0
279,6,3,4600.0
285,9,3,4000.0
286,20,9,40000.0
288,7,3,57000.0
291,17,11,150000.0
293,26,22,250000.0
297,5,3,33000.0
298,12,3,80000.0
300,6,2,700000.0
303,12,6,69200.0
306,3,1,55000.0
308,12,8,6000000.0
309,12,7,47000.0
312,37,32,120000.0
313,3,2,2900.0
316,14,10,140000.0
317,20,10,206000.0
319,10,3,55000.0
323,10,7,40000.0
326,5,4,125000.0
331,6,3,80000.0
332,12,7,37000000.0
334,14,14,120000.0
336,6,5,7300.0
338,26,23,33000.0
343,19,15,120000.0
347,15,10,59000.0
348,10,7,57600.0
349,6,4,49500.0
352,8,4,70000.0
355,26,25,143000.0
359,12,9,100000.0
361,15,9,190000.0
362,7,7,220000.0
363,3,2,1680.0
364,12,10,45000.0
365,9,11,55000.0
368,10,2,52800.0
369,7,3,83000.0
371,6,2,180000.0
373,40,36,320000.0
374,25,4,102000.0
375,20,8,180000.0
379,18,7,105000.0
382,9,6,124800.0
383,10,6,18500.0
384,5,2,130000.0
386,11,6,80000.0
387,3,3,45000.0
388,38,34,850000.0
389,8,3,204300.0
391,29,15,136000.0
392,13,8,60000.0
393,15,11,57000.0
394,4,4,67000.0
395,5,2,2800000.0
396,29,25,100000.0
397,20,10,5000.0
398,7,5,42000.0
401,40,25,1500.0
403,35,20,45000.0
404,6,5,175000.0
406,13,9,350000.0
407,11,7,149000.0
409,35,20,80000.0
411,18,8,110000.0
412,14,7,910000.0
413,8,4,3000.0
420,9,7,120000.0
423,8,1,1714.0
424,3,2,0.0
427,13,3,35738.0
428,4,4,21000.0
430,40,25,620.0
433,16,8,79000.0
437,7,3,25000.0
440,5,4,44000.0
441,9,5,141000.0
442,6,6,45000.0
444,20,17,80000.0
446,9,8,120000.0
447,18,10,230000.0
448,10,4,78000000.0
450,7,4,40000.0
455,36,21,19000.0
459,12,9,350000.0
461,9,3,2600.0
466,9,2,56000.0
468,8,5,110000.0
469,16,8,3650.0
470,3,1,5500000.0
471,22,18,6000.0
475,2,5,130000.0
476,30,17,11000.0
479,5,4,12000.0
484,11,4,158000.0
486,8,8,3500000.0
487,7,4,4000.0
489,9,2,36000.0
491,10,3,49000.0
492,7,6,25500.0
494,15,8,50000.0
498,7,4,100000.0
499,14,8,300000.0
501,17,10,24000.0
508,2,2,917403.0
510,18,14,4500.0
511,12,8,24000.0
513,8,3,110000.0
515,9,1,1130.0
529,4,3,58000.0
537,9,5,115000.0
539,10,7,200000.0
540,14,7,207000.0
547,8,4,200000000.0
548,5,3,21000.0
29031,5,Less than 1 year,75000.0
29034,23,10,41470.0
29038,18,14,106600.0
29043,16,12,200000.0
29045,10,3,4200.0
29047,10,5,77000.0
29048,7,5,1500.0
29049,18,15,8000.0
29054,10,7,75000.0
29056,7,2,38500.0
29060,18,13,62000.0
29061,9,2,60000.0
29067,8,3,33000.0
29071,9,6,72000.0
29096,10,8,180000.0
29098,12,12,100000.0
29103,6,5,115000.0
29105,2,Less than 1 year,2700.0
29106,12,4,31000.0
29109,8,7,45000.0
29111,15,11,47000.0
29113,16,12,86000.0
29114,17,5,106000.0
29115,11,10,4500000.0
29122,12,8,200000.0
29124,6,Less than 1 year,160000.0
29141,23,15,450000.0
29143,15,10,4500.0
29145,12,7,94500.0
29150,12,7,180000.0
29152,4,Less than 1 year,65000.0
29154,6,1,400000.0
29157,26,20,210000.0
72582,11,6,90000.0
72583,5,2,1200000.0
72584,7,3,33000.0
72588,5,5,98000.0
72591,26,16,3944.0
72592,7,4,38000.0
72593,15,12,64200.0
72594,21,19,360000.0
72603,9,3,90000.0
72604,10,6,1000000.0
72626,7,3,17500.0
72630,9,4,3200.0
72632,7,5,2260.0
72634,25,14,4200.0
72647,5,3,67000.0
72651,40,22,86000.0
72659,Less than 1 year,Less than 1 year,20000.0
72663,9,6,73000.0
72664,26,24,144000.0
72668,8,5,75000.0
72669,18,12,63000.0
72679,14,14,70000.0
72680,10,1,75000.0
72681,18,14,73500.0
72682,7,5,38000.0
72683,10,7,7200.0
72685,8,5,1700000.0
