respondent,YearsCode,YearsCodePro,CompTotal
42,11,10,17500.0
46,9,6,3000.0
48,3,2,57000.0
50,8,2,42000.0
52,6,1,109000.0
55,5,2,65000.0
56,15,3,1500.0
57,10,8,1632000.0
58,24,15,172000.0
60,9,9,120000.0
61,10,6,22000.0
63,30,23,75000.0
64,6,1,1000000.0
100,10,3,1060.0
102,14,12,120000.0
103,18,5,25500.0
104,5,1,65000.0
106,7,6,140000.0
110,7,3,40625.0
113,9,4,70000.0
115,20,12,150000.0
121,2,2,1130.0
122,15,12,104000.0
123,9,2,12000.0
127,10,7,60000.0
133,6,2,1680.0
134,16,8,7200.0
136,25,13,47000.0
139,7,4,1200000.0
143,12,6,4250.0
152,40,38,140000.0
154,6,4,105000.0
155,18,5,50000.0
157,12,10,57600.0
159,6,3,81000.0
160,4,4,78000000.0
161,15,8,40000.0
162,7,4,100000.0
165,15,11,200000.0
166,16,11,330000.0
168,5,1,60000.0
171,23,16,140000.0
172,5,2,158000.0
173,8,2,38000.0
179,20,17,120000.0
183,11,7,50000.0
184,2,Less than 1 year,200000.0
185,18,9,300000.0
186,5,3,650000.0
189,16,12,100000.0
192,8,1,200000.0
193,8,1,2500.0
194,4,4,121000.0
197,26,18,115000.0
202,14,2,103000.0
203,11,3,4000.0
204,8,5,90000.0
205,1,1,100000.0
206,20,12,500000.0
208,11,3,100000.0
211,18,18,207000.0
213,20,15,45000.0
215,5,1,80000.0
219,17,14,9400.0
222,30,16,917403.0
223,8,5,55000.0
224,6,1,45000.0
225,22,12,49000.0
229,3,Less than 1 year,15000.0
235,30,16,120000.0
238,15,12,36000.0
240,18,7,115000.0
242,31,22,250000.0
245,8,5,5500000.0
246,48,25,6200.0
247,2,Less than 1 year,24000.0
248,3,2,28000.0
254,25,18,252000.0
255,3,1,98000.0
259,7,4,100000.0
260,10,3,59000.0
261,38,36,600000.0
263,16,17,36000000.0
267,10,6,60000.0
268,12,4,130000.0
269,12,12,94000.0
272,22,15,200000.0
274,40,25,160000.0
275,14,12,90000.0
277,28,18,0.0
278,7,2,96000.0
279,5,3,6000.0
285,8,3,1714.0
286,21,9,42000.0
288,7,3,46000.0
291,15,11,150000.0
293,26,23,310000.0
297,4,3,33000.0
298,12,3,69200.0
300,6,2,1000000.0
303,12,6,75000.0
306,3,1,55000.0
308,11,7,1700000.0
309,11,7,50000.0
312,30,Less than 1 year,120000.0
313,3,2,3500.0
316,14,8,140000.0
317,20,10,230000.0
319,9,3,53000.0
323,10,7,42000.0
326,5,3,125000.0
331,6,3,85000.0
332,12,7,42000044.0
334,13,14,120000.0
336,5,5,4900.0
338,28,25,24500.0
343,18,16,120000.0
347,15,10,60000.0
348,10,7,60000.0
349,6,4,47000.0
352,8,4,75000.0
355,27,24,140000.0
359,12,8,100000.0
361,15,8,180000.0
362,7,7,200000.0
363,3,2,2260.0
364,12,10,46000.0
365,9,10,52000.0
368,10,1,50000.0
369,7,3,90000.0
371,6,2,180000.0
373,Less than 1 year,26,400000.0
374,25,4,105000.0
375,22,7,180000.0
379,17,7,100000.0
382,9,6,120000.0
383,10,6,19000.0
384,5,2,130000.0
386,11,6,77000.0
387,4,3,45000.0
388,38,26,1000000.0
389,8,3,250000.0
391,28,15,130000.0
392,12,7,60000.0
393,15,11,49000.0
394,4,4,62000.0
395,5,2,3200000.0
396,28,34,100000.0
397,19,10,6500.0
398,7,5,41470.0
401,40,24,3000.0
403,38,21,40000.0
404,6,5,180000.0
406,14,9,220000.0
407,11,6,155000.0
409,30,20,85336.0
411,18,8,110000.0
412,11,6,950000.0
413,8,3,3650.0
420,8,7,125000.0
423,8,1,2600.0
424,3,2,700.0
427,14,3,38000.0
428,3,4,11000.0
430,40,20,1100.0
433,16,8,76000.0
437,7,3,33000.0
440,5,3,45000.0
441,9,5,145000.0
442,6,5,48000.0
444,18,16,80000.0
446,8,8,126000.0
447,18,9,200000.0
448,10,4,10000000.0
450,7,4,36000.0
455,37,21,20000.0
459,12,9,400000.0
461,9,3,2900.0
466,9,2,60000.0
468,8,5,106600.0
469,16,8,4000.0
470,3,1,700000.0
471,18,18,7300.0
475,2,5,130000.0
476,32,20,14000.0
479,4,4,12000.0
484,11,3,160000.0
486,8,8,2800000.0
487,7,4,5000.0
489,9,2,38000.0
491,10,2,49500.0
492,7,6,33000.0
494,15,8,52800.0
498,6,4,94500.0
499,14,8,350000.0
501,18,10,29000.0
508,2,1,800000.0
510,18,15,4600.0
511,12,8,33000.0
513,8,3,111000.0
515,9,1,1000.0
529,4,3,60000.0
537,9,5,120000.0
539,10,7,165000.0
540,14,7,210000.0
547,8,4,300000000.0
548,5,3,30000.0
29031,5,32,73500.0
29034,25,10,38500.0
29038,18,11,114000.0
29043,16,12,205000.0
29045,10,3,3400.0
29047,10,5,75000.0
29048,7,5,1566.0
29049,17,15,5000.0
29054,10,7,70000.0
29056,7,2,40000.0
29060,18,14,67000.0
29061,9,2,60000.0
29067,7,2,30000.0
29071,9,6,67000.0
29096,10,8,161000.0
29098,12,12,92000.0
29103,6,5,120000.0
29105,3,Less than 1 year,2700.0
29106,12,4,33000.0
29109,8,7,47000.0
29111,15,10,50000.0
29113,17,12,90000.0
29114,17,5,109000.0
29115,12,10,2000000.0
29122,12,8,205000.0
29124,6,Less than 1 year,160000.0
29141,20,13,650000.0
29143,14,9,4700.0
29145,12,7,100000.0
29150,12,7,174000.0
29152,4,Less than 1 year,70000.0
29154,6,1,320000.0
29157,29,20,225000.0
72582,11,6,95000.0
72583,5,2,3500000.0
72584,7,3,28000.0
72588,5,5,96700.0
72591,28,16,4200.0
72592,7,3,40000.0
72593,15,13,70000.0
72594,20,20,200000.0
72603,9,3,90000.0
72604,10,6,1568000.0
72626,7,3,6000.0
72630,9,4,3000.0
72632,7,5,3200.0
72634,26,14,3944.0
72647,5,3,60000.0
72651,48,23,90000.0
72659,40,45,21000.0
72663,9,6,65000.0
72664,25,25,150000.0
72668,7,5,79000.0
72669,18,12,67000.0
72679,12,14,75000.0
72680,10,1,78000.0
72681,20,15,70000.0
72682,7,4,35738.0
72683,10,7,8000.0
72685,8,5,12000000.0
72686,7,4,4500000.0
72689,5,1,17800.0
72690,15,10,40000.0
72692,6,2,90.0
72700,14,6,60000.0
72705,7,3,42000.0
72706,6,3,50000.0
72710,7,4,88000.0
72712,4,5,138000.0
72714,28,17,140000.0
72719,8,5,120000.0
72720,15,10,91000.0
72725,18,Less than 1 year,100000.0
72727,3,1,130000.0
72728,14,10,200000.0
72730,17,12,83000.0
72731,7,5,280000.0
72734,4,2,75000.0
72735,10,6,73000.0
72738,23,24,143000.0
72739,16,10,180000.0
72740,16,10,120000.0
72741,14,8,86000.0
72744,7,8,3200.0
72746,3,2,439000.0
72749,37,30,100000.0
72751,3,1,36000.0
72752,20,15,100000.0
72753,11,3,24000.0
